packet,control,representation,population_id,readout_family,calibration,status,estimate,ci_lower,ci_upper,n_candidates,n_trials,source_run,notes
N1,prespecified_synthetic_execution_coverage,,,,,FAILED,,,,,,synthetic_001,完整分母只证明执行完整；保留所有恢复率/FPR倾向及Monte Carlo区间。方案未冻结跨世界通过率阈值，不事后添加，也不以完成代替机制识别。
N1,prespecified_synthetic_direction_and_controls,,,,,MISSING,,,,,,synthetic_001,NUMERICALLY_UNRESOLVED_WORLD_COVERAGE; BACKGROUND_KEY/ADDITIVE_NOISE预期背景辅助；PRIOR_ONLY/INDEPENDENT_BACKGROUND不应稳定制造增量。单世界主增量>=0.005且CI下界>0，noise margin下界>0；合成预算未覆盖真实HB/HPP/donor全控制。 完整分母只证明执行完整；保留所有恢复率/FPR倾向及Monte Carlo区间。方案未冻结跨世界通过率阈值，不事后添加，也不以完成代替机制识别。
N2,prespecified_synthetic_execution_coverage,,,,,COMPLETE,,,,,,synthetic_001,完整分母只证明执行完整；保留所有恢复率/FPR倾向及Monte Carlo区间。方案未冻结跨世界通过率阈值，不事后添加，也不以完成代替机制识别。
N2,prespecified_synthetic_direction_and_controls,,,,,MISSING,,,,,,synthetic_001,DIRECTION_INTERPRETATION_SEPARATE_NO_RATE_GATE; COVARIANCE_SIGNAL应有分布增量；MEAN_SUFFICIENT/TIME_DRIFT不能冒充均值或时间之外的分布增量。单世界主增量>=0.01且CI下界>0，duplicate margin下界>0；RFF只次要诊断。 完整分母只证明执行完整；保留所有恢复率/FPR倾向及Monte Carlo区间。方案未冻结跨世界通过率阈值，不事后添加，也不以完成代替机制识别。
N3,prespecified_synthetic_execution_coverage,,,,,FAILED,,,,,,synthetic_001,完整分母只证明执行完整；保留所有恢复率/FPR倾向及Monte Carlo区间。方案未冻结跨世界通过率阈值，不事后添加，也不以完成代替机制识别。
N3,prespecified_synthetic_direction_and_controls,,,,,MISSING,,,,,,synthetic_001,NUMERICALLY_UNRESOLVED_WORLD_COVERAGE; EEG_INCREMENT预期正增量；HISTORY_ONLY/NEAR_DETERMINISTIC_HISTORY不能稳定产生额外EEG收益。每族单世界主增量>=0.005且CI下界>0，noise margin下界>0；两族共享draw。 完整分母只证明执行完整；保留所有恢复率/FPR倾向及Monte Carlo区间。方案未冻结跨世界通过率阈值，不事后添加，也不以完成代替机制识别。
G0,legacy_shared_table_reproduction,,,,,COMPLETE,,,,,,G0_001,
G0,refined_dependency_and_common_QC_mapping,,,,,COMPLETE,,,,,,G0_metadata_002,
G0,within_child_and_offline_bridge,,,,,COMPLETE,,,,,,G0_readouts_001,
N3,saved_training_OOF_family_selection,,,,,COMPLETE,,,,,,N3_core_001,逐视图保存的选族覆盖全部五个外折；选族不同的比较不自动构成嵌套容量比较。
A2,post_delta_cosine,R_SIM,common_Omega_equal_candidate,matching,,COMPLETE,0.0153892995528579,-0.0305961865681659,0.0593237586491848,49.0,,A2_core_001,控制是否已执行与控制效应方向分开；post-pre是统计量之差。
A2,pre_delta_cosine,R_SIM,common_Omega_equal_candidate,matching,,COMPLETE,0.0106349769832528,-0.0242502542988572,0.0463774679976754,49.0,,A2_core_001,控制是否已执行与控制效应方向分开；post-pre是统计量之差。
A2,post_minus_pre_cosine,R_SIM,common_Omega_equal_candidate,matching,,COMPLETE,0.0047543225696051,-0.0481146300298942,0.0561656422406773,49.0,,A2_core_001,控制是否已执行与控制效应方向分开；post-pre是统计量之差。
A2,common_response_cosine,R_SIM,common_Omega_equal_candidate,matching,,COMPLETE,0.3697216313782003,0.3015292795180646,0.4351233174513417,49.0,,A2_core_001,控制是否已执行与控制效应方向分开；post-pre是统计量之差。
A2,saved_residual_four_term_audit,,,,,COMPLETE,,,,,,A2_residual_recovered_001,原output-only失败保留；恢复只重建聚合，没有新的ridge/PCA/scaler拟合。
A2,fixed_quality_summary_in_background,,,,,MISSING,,,,,,A2_residual_recovered_001,已有固定feature任务没有quality数组时保留限制，不能称已完成质量背景控制。
N1,complete_required_head_families,,,,,COMPLETE,,,,,,N1_core_001,
N1,declared_inner_OOF_calibration,,,,,COMPLETE,,,,,,N1_core_001,仅已声明encoder-unseen内折子集；这是部分覆盖，未覆盖训练组不假装拥有OOF。
N3,complete_required_head_families,,,,,COMPLETE,,,,,,N3_core_001,
N3,declared_inner_OOF_calibration,,,,,COMPLETE,,,,,,N3_core_001,仅已声明encoder-unseen内折子集；这是部分覆盖，未覆盖训练组不假装拥有OOF。
N1,two_fixed_head_donor_assignments,,,,,COMPLETE,,,,,,N1_core_001,禁止按当前标签匹配；仅冻结donor共同集合，分布失配诊断不等于因果必要性。
N1,matched_donor_training_same_support_reference,,,,,COMPLETE,,,,,,N1_core_001,
N1,fixed_head_donor:same_child_B-actual_B,,,,,COMPLETE,0.0030460265981769,0.0003866922786802,0.0056752592411666,59.0,,N1_core_001,OOD/输入构造诊断；不替换主试次池。
N1,fixed_head_donor:training_child_B-actual_B,,,,,COMPLETE,-0.002205871766235,-0.0060475978099179,0.0012624272082767,59.0,,N1_core_001,OOD/输入构造诊断；不替换主试次池。
N1,matched_training_donor_vs_same_support_reference:HPB_donor_support_reference-HPB_training_child_donor,,,,,COMPLETE,-0.0062084418450781,-0.0126918063498331,-0.0012426184504645,59.0,,N1_core_001,OOD/输入构造诊断；不替换主试次池。
N1,HPP_minus_HPB,R_SIM,P_nat,mlp32,temperature,COMPLETE,-0.0119874380903146,-0.0145278597463982,-0.0094226354263356,59.0,,N1_core_001,
N1,HPBnoise_minus_HPB,R_SIM,P_nat,mlp32,temperature,COMPLETE,0.004886121246093,-0.0011759657678446,0.0099085427205381,59.0,,N1_core_001,
N1,HB_minus_HPB,R_SIM,P_nat,mlp32,temperature,COMPLETE,-0.0241528137667634,-0.027591464758276,-0.020944091986163,59.0,,N1_core_001,
N3,selected_HB_minus_HBP,R_SIM,P_nat,training_OOF_selected,temperature,COMPLETE,0.0001004002383222,-0.0019035027100663,0.0021865901184356,60.0,,N3_core_001,
N3,selected_H_minus_Hnoise,R_SIM,P_nat,training_OOF_selected,temperature,COMPLETE,-0.0519103031575786,-0.0589538202026109,-0.042284318799605,60.0,,N3_core_001,
N3,fixed_history_strata_description,,,,,COMPLETE,,,,,,N3_core_001,同一冻结头按过去run分层；不逐层重新选最优模型。
N3,stratum_two_class_support_counts,,,,,COMPLETE,,,,,,metrics_001,支持计数已核对；0个层存在全层单类/空格，0个层不是每候选都有两类。只描述稀疏支持，不新增排除或配额。
N2,post_mv_vs_dup,R_SIM,P_bal,logistic,temperature,COMPLETE,-0.000828735991338,-0.0017620540304157,0.0001031153272239,57.0,,N2_core_001,同bag的pre/post窗口长度不同；差异不是纯因果响应。
N2,pre_gain_mu_var,R_SIM,P_bal,logistic,temperature,COMPLETE,0.0009098707435204,-0.000192159062132,0.0021043825935774,57.0,,N2_core_001,同bag的pre/post窗口长度不同；差异不是纯因果响应。
N2,post_minus_pre_gain_mu_var_post_minus_pre,R_SIM,P_bal,logistic,temperature,COMPLETE,-0.0024033745782834,-0.0048201105577513,-0.0006369280766953,57.0,,N2_core_001,同bag的pre/post窗口长度不同；差异不是纯因果响应。
N2,ten_frozen_test_regroupings,,,,,COMPLETE,,,,,,N2_core_001,只重组测试袋，平均后再做原固定预测统计；没有新模型拟合。
N2,regrouping_average_post_gain_mu_var,L0,,logistic,temperature,COMPLETE,-0.0005423520268466,-0.0012754500941366,0.0002696078337295,57.0,,N2_core_001,
N2,regrouping_average_post_mv_vs_dup,L0,,logistic,temperature,COMPLETE,-0.0007018547620667,-0.0012637186230403,-0.0001684802534161,57.0,,N2_core_001,
N2,regrouping_average_pre_gain_mu_var,L0,,logistic,temperature,COMPLETE,0.0001980273794837,-0.0006700764805348,0.0012713640031106,57.0,,N2_core_001,
N2,regrouping_average_pre_mv_vs_dup,L0,,logistic,temperature,COMPLETE,0.0003318463390711,-0.0005460152322084,0.0014053793057686,57.0,,N2_core_001,
N2,regrouping_average_post_gain_mu_var,R_SIM,,logistic,temperature,COMPLETE,-0.0015236912218686,-0.0031559840655442,-0.0001977305286167,57.0,,N2_core_001,
N2,regrouping_average_post_mv_vs_dup,R_SIM,,logistic,temperature,COMPLETE,-0.0009215024675311,-0.0019632072946629,8.140796169223956e-05,57.0,,N2_core_001,
N2,regrouping_average_pre_gain_mu_var,R_SIM,,logistic,temperature,COMPLETE,0.0002111274306447,-0.0005299652825255,0.0008989215655122,57.0,,N2_core_001,
N2,regrouping_average_pre_mv_vs_dup,R_SIM,,logistic,temperature,COMPLETE,0.0003473490596605,-0.0003338576645715,0.0010259126528834,57.0,,N2_core_001,
C2_S,full_twenty_channel_reconstruction_and_numeric_isolation,,,,,COMPLETE,,,,,,C2S_core_001,19个有效自由度；右侧原始数值扰动不改左局部；whole-record QC仍使selection_isolation=False。
C2_S,crossmean_matched_width_margin,L0,P_bal,logistic,calibrated,COMPLETE,-0.0001580471590236,-0.0004775529740335,0.0001191032558647,60.0,,C2S_core_001,
C2_S,complete_spatial_matched_width_margin,L0,P_bal,logistic,calibrated,COMPLETE,0.0001720193938619,-0.0003867936546282,0.0006868262924856,60.0,,C2S_core_001,
C2_R,G_R_given_L,R_SIM,P_bal,mlp32,calibrated,COMPLETE,-0.0003338560786889,-0.0010466867636584,0.0003378555627182,60.0,,C2R_core_001,固定主表示及校准；重复列和MLP64容量对照不替换主T_C。
C2_R,G_L_given_R,R_SIM,P_bal,mlp32,calibrated,COMPLETE,0.0008516398255963,-3.631088196499044e-05,0.0016885799796268,60.0,,C2R_core_001,固定主表示及校准；重复列和MLP64容量对照不替换主T_C。
C2_R,J_joint,R_SIM,P_bal,mlp32,calibrated,COMPLETE,0.0008527709627847,-0.000639723408614,0.002333069141316,60.0,,C2R_core_001,固定主表示及校准；重复列和MLP64容量对照不替换主T_C。
C2_R,duplicate_margin,R_SIM,P_bal,mlp32,calibrated,COMPLETE,-0.0003291631193925,-0.0010247696600563,0.0002929831616585,60.0,,C2R_core_001,固定主表示及校准；重复列和MLP64容量对照不替换主T_C。
C2_R,expanded_margin,R_SIM,P_bal,mlp32,calibrated,COMPLETE,-0.0003408975563351,-0.0010509406680846,0.0002903328394023,60.0,,C2R_core_001,固定主表示及校准；重复列和MLP64容量对照不替换主T_C。
C2_R,capacity_margin,R_SIM,P_bal,mlp32,calibrated,COMPLETE,-0.0003408975563351,-0.0010846966184331,0.0002271483718436,60.0,,C2R_core_001,固定主表示及校准；重复列和MLP64容量对照不替换主T_C。
C2_R,complete_fixed_head_replacement_matrix,,,,,COMPLETE,,,,,,C2R_core_001,L/R/LL/RR零置换、同类及异类替换是OOD诊断，不是解剖因果干预。
C2_R,parallel_repair_and_inherited_raw_isolation,,,,,MISSING,,,,,,C2R_core_001,原修复回执明确仍缺完整L0/R_SUP平行修复及继承raw-isolation审计；不以C2-S替代独立branch路线。
E0_R,same_requested_native128_records_complete_family,,,,,MISSING,,,,,,E0R_core_001,完整有块支持记录都需通过；只成功部分记录时无MLP聚合。
E0_R,E1_transfer,,,,,NOT_APPLICABLE,,,,,,E0R_core_001,E1明确关闭；原bapa安全候选16<20，E0不替代迁移。
N1,fixed_prediction_metrics_and_influence,,,,,COMPLETE,,,,,,metrics_001,AUROC/Brier、留一候选影响及校准边界只从固定预测派生；不重新拟合。
N2,fixed_prediction_metrics_and_influence,,,,,COMPLETE,,,,,,metrics_001,AUROC/Brier、留一候选影响及校准边界只从固定预测派生；不重新拟合。
N3,fixed_prediction_metrics_and_influence,,,,,COMPLETE,,,,,,metrics_001,AUROC/Brier、留一候选影响及校准边界只从固定预测派生；不重新拟合。
